,Compound,Date,Negative,Neutral,News Outlet,Positive,Source Account,Tweets Ago,Tweets Text
0,0.0,Sun Apr 29 04:46:03 +0000 2018,1.0,0.0,@CNN,0.0,CNN,1,The skeletal remains of more than 140 children and 200 baby llamas were found on the country's northern coast. It m… https://t.co/4BduUJRnN4
1,0.0,Sun Apr 29 04:31:21 +0000 2018,1.0,0.0,@CNN,0.0,CNN,2,"The crowd in Washington Township, Michigan, chants ""Nobel! Nobel!"" as President Trump talks about North Korea… https://t.co/7HduJQ92SN"
2,-0.9042,Sun Apr 29 04:15:06 +0000 2018,0.588,0.412,@CNN,0.0,CNN,3,"A young woman killed in the attack at a Waffle House in Tennessee died singing gospel songs, the restaurant chain's… https://t.co/4VWxK5llqd"
3,0.6597,Sun Apr 29 04:12:48 +0000 2018,0.625,0.076,@CNN,0.299,CNN,4,"""There is no reason a comedian would want to just please that room. ... You are trying to play for the audience at… https://t.co/BIbkBg6OKf"
4,0.0,Sun Apr 29 04:08:29 +0000 2018,1.0,0.0,@CNN,0.0,CNN,5,Trump suggested that Putin might have directed a Russian lawyer who met with Trump campaign associates in 2016 to d… https://t.co/jWR9LBY4O7
5,-0.2023,Sun Apr 29 03:51:54 +0000 2018,0.824,0.112,@CNN,0.065,CNN,6,A passenger aboard Southwest Airlines Flight 1380 has filed a lawsuit against the company calling for compensatory… https://t.co/ZuICLVuEG4
6,-0.0516,Sun Apr 29 03:41:51 +0000 2018,0.787,0.111,@CNN,0.102,CNN,7,A Georgia police officer involved in the arrest of former NFL prospect Desmond Marrow has been placed on administra… https://t.co/H6dJda86cq
7,0.0,Sun Apr 29 03:22:11 +0000 2018,1.0,0.0,@CNN,0.0,CNN,8,North Korean leader Kim Jong Un told South Korean President Moon Jae-in that he will close his main nuclear test si… https://t.co/k6TVHlrACk
8,0.3818,Sun Apr 29 03:19:39 +0000 2018,0.833,0.0,@CNN,0.167,CNN,9,This is who comedian Michelle Wolf called out in her #WHCD roast https://t.co/mEYWakpHLy https://t.co/89dYdf1nnh
9,0.0,Sun Apr 29 03:12:12 +0000 2018,1.0,0.0,@CNN,0.0,CNN,10,#WHCD host Michelle Wolf roasted White House press secretary Sarah Sanders as she sat just feet away… https://t.co/XqjpcHG4CX
